Motor,Position 1,Position 2,Speed 1,Speed 2,Accel 1,Accel 2,Decel 1,Decel 2,Jerk 1,Jerk 2,Time 1,Time 2,Profile,Move Type,Curve ID,Time Scale,Amplitude Scale,Curve Offset
0,0,350,500,500,20000,20000,20000,20000,2000,2000,0,0,1,0,0,0,0,0
1,0,350,500,500,20000,20000,20000,20000,2000,2000,0,0,1,0,0,0,0,0
2,0,350,500,500,20000,20000,20000,20000,2000,2000,0,0,1,0,0,0,0,0
3,0,350,500,500,20000,20000,20000,20000,2000,2000,0,0,1,0,0,0,0,0
4,0,350,500,500,20000,20000,20000,20000,2000,2000,0,0,1,0,0,0,0,0
5,0,350,500,500,20000,20000,20000,20000,2000,2000,0,0,1,0,0,0,0,0
6,0,350,500,500,20000,20000,20000,20000,2000,2000,0,0,1,0,0,0,0,0
7,0,350,500,500,20000,20000,20000,20000,2000,2000,0,0,1,0,0,0,0,0
8,0,350,500,500,20000,20000,20000,20000,2000,2000,0,0,1,0,0,0,0,0
9,0,350,500,500,20000,20000,20000,20000,2000,2000,0,0,1,0,0,0,0,0
10,0,350,500,500,20000,20000,20000,20000,2000,2000,0,0,1,0,0,0,0,0
11,0,350,500,500,20000,20000,20000,20000,2000,2000,0,0,1,0,0,0,0,0
12,0,350,500,500,20000,20000,20000,20000,2000,2000,0,0,1,0,0,0,0,0
13,0,350,500,500,20000,20000,20000,20000,2000,2000,0,0,1,0,0,0,0,0
14,0,350,500,500,20000,20000,20000,20000,2000,2000,0,0,1,0,0,0,0,0
15,0,350,500,500,20000,20000,20000,20000,2000,2000,0,0,1,0,0,0,0,0
16,0,350,500,500,20000,20000,20000,20000,2000,2000,0,0,1,0,0,0,0,0
17,0,350,500,500,20000,20000,20000,20000,2000,2000,0,0,1,0,0,0,0,0
18,0,350,500,500,20000,20000,20000,20000,2000,2000,0,0,1,0,0,0,0,0
19,0,350,500,500,20000,20000,20000,20000,2000,2000,0,0,1,0,0,0,0,0
20,0,350,500,500,20000,20000,20000,20000,2000,2000,0,0,1,0,0,0,0,0
21,0,350,500,500,20000,20000,20000,20000,2000,2000,0,0,1,0,0,0,0,0
22,0,350,500,500,20000,20000,20000,20000,2000,2000,0,0,1,0,0,0,0,0
23,0,350,500,500,20000,20000,20000,20000,2000,2000,0,0,1,0,0,0,0,0
24,0,350,500,500,20000,20000,20000,20000,2000,2000,0,0,1,0,0,0,0,0
25,0,350,500,500,20000,20000,20000,20000,2000,2000,0,0,1,0,0,0,0,0
26,0,350,500,500,20000,20000,20000,20000,2000,2000,0,0,1,0,0,0,0,0
27,0,350,500,500,20000,20000,20000,20000,2000,2000,0,0,1,0,0,0,0,0
28,0,350,500,500,20000,20000,20000,20000,2000,2000,0,0,1,0,0,0,0,0
29,0,350,500,500,20000,20000,20000,20000,2000,2000,0,0,1,0,0,0,0,0
All,0,350,500,500,10000,10000,10000,10000,2000,2000,0,0,1,0,0,0,0,0
